url,mode,template_id,strategy,completeness_recall,content_precision,accuracy_f1,contamination_rate,structure_recall,full_extraction,successful,confidence,latency_ms,model,input_tokens,output_tokens,cost_usd
https://jobs.smartrecruiters.com/SopraSteria1/744000129485310-data-engineer,llm_only,smartrecruiters,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.491,,0,0,0.0
https://job-boards.greenhouse.io/540/jobs/7886211003,llm_only,greenhouse,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.357,,0,0,0.0
https://job-boards.greenhouse.io/sigmacomputing/jobs/7809974003,llm_only,greenhouse,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.374,,0,0,0.0
https://jobs.lever.co/padsplit/a037c79a-6664-4fbb-842c-800c34cb1b68,llm_only,lever,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.464,,0,0,0.0
https://jobs.lever.co/sep/2eb79283-b3fd-4316-9e93-e80dbebfba05,llm_only,lever,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.194,,0,0,0.0
https://jobs.ashbyhq.com/baseten/c2ba6c50-d282-4478-98e9-668f94facde8,llm_only,ashby,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.412,,0,0,0.0
https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Data-Engineer_R0242536,llm_only,workday,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.731,,0,0,0.0
https://careers-americansystems.icims.com/jobs/4391/data-engineer---junior/job?mobile=true&needsRedirect=false,llm_only,icims,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.305,,0,0,0.0
https://jobs.smartrecruiters.com/DeliveryHero/744000132793449-data-engineer-l-tech-foundations-2026-tech-grads-,llm_only,smartrecruiters,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.451,,0,0,0.0
https://nuview.breezy.hr/p/92e1b573af62-data-engineer,llm_only,breezy,llm_only,0.0,0.0,0.0,1.0,0.0,False,False,0.0,0.242,,0,0,0.0
https://jobs.smartrecruiters.com/SopraSteria1/744000129485310-data-engineer,template_aware,smartrecruiters,template_rule:built_in,1.0,1.0,1.0,0.0,1.0,True,True,1.0,5.617,,0,0,0.0
https://job-boards.greenhouse.io/540/jobs/7886211003,template_aware,greenhouse,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,3.814,,0,0,0
https://job-boards.greenhouse.io/sigmacomputing/jobs/7809974003,template_aware,greenhouse,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,2.888,,0,0,0
https://jobs.lever.co/padsplit/a037c79a-6664-4fbb-842c-800c34cb1b68,template_aware,lever,structured_data,1.0,0.9964,0.9982,0.0036,0.9375,False,True,1.0,8.318,,0,0,0.0
https://jobs.lever.co/sep/2eb79283-b3fd-4316-9e93-e80dbebfba05,template_aware,lever,structured_data,1.0,0.9963,0.9981,0.0037,1.0,True,True,1.0,7.089,,0,0,0.0
https://jobs.ashbyhq.com/baseten/c2ba6c50-d282-4478-98e9-668f94facde8,template_aware,ashby,structured_data,1.0,1.0,1.0,0.0,0.5,False,True,1.0,2.54,,0,0,0.0
https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Data-Engineer_R0242536,template_aware,workday,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,4.573,,0,0,0
https://careers-americansystems.icims.com/jobs/4391/data-engineer---junior/job?mobile=true&needsRedirect=false,template_aware,icims,structured_data,1.0,1.0,1.0,0.0,1.0,True,True,1.0,2.053,,0,0,0.0
https://jobs.smartrecruiters.com/DeliveryHero/744000132793449-data-engineer-l-tech-foundations-2026-tech-grads-,template_aware,smartrecruiters,template_rule:built_in,1.0,1.0,1.0,0.0,0.5,False,True,1.0,5.582,,0,0,0.0
https://nuview.breezy.hr/p/92e1b573af62-data-engineer,template_aware,breezy,structured_data,1.0,1.0,1.0,0.0,1.0,True,True,1.0,2.331,,0,0,0.0
https://jobs.smartrecruiters.com/SopraSteria1/744000129485310-data-engineer,hybrid,smartrecruiters,template_rule:built_in,1.0,1.0,1.0,0.0,1.0,True,True,1.0,5.526,,0,0,0.0
https://job-boards.greenhouse.io/540/jobs/7886211003,hybrid,greenhouse,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,3.592,,0,0,0
https://job-boards.greenhouse.io/sigmacomputing/jobs/7809974003,hybrid,greenhouse,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,3.03,,0,0,0
https://jobs.lever.co/padsplit/a037c79a-6664-4fbb-842c-800c34cb1b68,hybrid,lever,structured_data,1.0,0.9964,0.9982,0.0036,0.9375,False,True,1.0,8.324,,0,0,0.0
https://jobs.lever.co/sep/2eb79283-b3fd-4316-9e93-e80dbebfba05,hybrid,lever,structured_data,1.0,0.9963,0.9981,0.0037,1.0,True,True,1.0,6.65,,0,0,0.0
https://jobs.ashbyhq.com/baseten/c2ba6c50-d282-4478-98e9-668f94facde8,hybrid,ashby,structured_data,1.0,1.0,1.0,0.0,0.5,False,True,1.0,2.726,,0,0,0.0
https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Data-Engineer_R0242536,hybrid,workday,failed,0.0,0.0,0.0,1.0,0.0,False,False,0.0,4.384,,0,0,0
https://careers-americansystems.icims.com/jobs/4391/data-engineer---junior/job?mobile=true&needsRedirect=false,hybrid,icims,structured_data,1.0,1.0,1.0,0.0,1.0,True,True,1.0,2.021,,0,0,0.0
https://jobs.smartrecruiters.com/DeliveryHero/744000132793449-data-engineer-l-tech-foundations-2026-tech-grads-,hybrid,smartrecruiters,template_rule:built_in,1.0,1.0,1.0,0.0,0.5,False,True,1.0,5.751,,0,0,0.0
https://nuview.breezy.hr/p/92e1b573af62-data-engineer,hybrid,breezy,structured_data,1.0,1.0,1.0,0.0,1.0,True,True,1.0,2.658,,0,0,0.0
